Underlying,Action,Quantity,Price,Time,Date,Exch.,Order Ref.,Commission,Realized P&L,Submitter,Account,
MBFIO,SLD,200,24.62,13:58:08,20190319,ISLAND,,1.43,47.51,,U514286,
MBFIO,SLD,100,24.62,13:58:08,20190319,ISLAND,,0.71,23.76,,U514286,
MBFIO,SLD,65,24.63,14:49:03,20190319,ISLAND,,0.59,15.97,,U514286,
MBFIO,SLD,85,24.63,14:49:03,20190319,ISLAND,,0.48,21.17,,U514286,
MBFIO,SLD,15,24.63,14:49:03,20190319,ISLAND,,0.11,3.71,,U514286,
MBFIO,SLD,43,24.63,14:49:03,20190319,ISLAND,,0.31,10.65,,U514286,
MBFIO,SLD,100,24.63,14:49:03,20190319,ISLAND,,0.71,24.76,,U514286,
MBFIO,SLD,192,24.63,14:49:03,20190319,ISLAND,,1.37,47.53,,U514286,
MBFIO,SLD,100,24.63,14:49:03,20190319,NYSE,,0.71,24.76,,U514286,
MET PRA,SLD,100,23.32,15:12:53,20190319,DRCTEDGE,,0.71,57.06,,U514286,
MBFIO,SLD,50,24.63,15:16:01,20190319,NYSE,,0.53,12.20,,U514286,
MBFIO,SLD,50,24.63,15:16:01,20190319,NYSE,,0.18,12.55,,U514286,
MBFIO,SLD,57,24.63,15:16:01,20190319,NYSE,,0.41,14.11,,U514286,
MBFIO,SLD,215,24.63,15:16:01,20190319,NYSE,,1.54,53.23,,U514286,
TCGP,SLD,100,22.49,15:28:58,20190319,BEX,,0.40,0.44,,U514286,
TCGP,SLD,100,22.49,15:28:58,20190319,IEX,,0.44,0.40,,U514286,
HBANO,SLD,300,26.4246,16:07:25,20190319,IBKRATS,,1.25,117.28,,U514286,
GS PRB,BOT,100,27.27,17:33:11,20190319,NYSE,,0.37,2.97,,U514286,
VLYPP,BOT,34,26.50,17:39:18,20190319,ISLAND,,0.36,19.95,,U514286,
GS PRB,BOT,47,27.26,18:35:08,20190319,NYSE,,0.36,1.68,,U514286,
GS PRB,BOT,100,27.26,18:35:10,20190319,NYSE,,0.18,4.15,,U514286,
GS PRB,BOT,53,27.26,18:35:10,20190319,NYSE,,0.20,2.10,,U514286,
MET PRA,SLD,85,23.26,18:37:08,20190319,NYSE,,0.66,43.34,,U514286,
MET PRA,SLD,15,23.24,18:37:08,20190319,NYSE,,0.05,7.41,,U514286,
VLYPP,BOT,243,26.50,19:45:08,20190319,ISLAND,,0.67,144.46,,U514286,
VLYPP,BOT,37,26.50,20:00:00,20190319,ISLAND,,0.14,21.96,,U514286,
HCXZ,BOT,100,24.46,20:02:01,20190319,NYSE,,0.37,,,U514286,
